,VenCatg,VenCatgTier,GenVenCatg
428,Soccer Field,Tier-3,Parks/Outdoors
429,Soccer Stadium,Tier-3,
430,Social Club,Tier-2,
431,Soup Place,Tier-2,Restaurants/Foods
432,South American Restaurant,Tier-2,Restaurants/Foods
433,South Indian Restaurant,Tier-2,Restaurants/Foods
434,South Tyrolean Restaurant,Tier-2,Restaurants/Foods
435,Southern / Soul Food Restaurant,Tier-2,Restaurants/Foods
436,Southwestern French Restaurant,Tier-2,Restaurants/Foods
437,Souvenir Shop,Tier-2,Shops/Stores
438,Souvlaki Shop,Tier-2,Restaurants/Foods
439,Spa,Tier-2,Shops/Stores
440,Spanish Restaurant,Tier-2,Restaurants/Foods
441,Speakeasy,Tier-2,Bars/Pubs/Cafés
442,Spiritual Center,Tier-3,
443,Sporting Goods Shop,Tier-2,Shops/Stores
444,Sports Bar,Tier-2,Bars/Pubs/Cafés
445,Sports Club,Tier-1,Parks/Outdoors
446,Sri Lankan Restaurant,Tier-2,Restaurants/Foods
447,Stables,Tier-3,
448,Stadium,Tier-3,
449,State / Provincial Park,Tier-1,Parks/Outdoors
450,Stationery Store,Tier-2,Shops/Stores
451,Steakhouse,Tier-2,Restaurants/Foods
452,Street Art,Tier-2,Arts/Culture
453,Street Food Gathering,Tier-1,Restaurants/Foods
454,Strip Club,Tier-3,
455,Sukiyaki Restaurant,Tier-2,Restaurants/Foods
456,Supermarket,Tier-2,Shops/Stores
457,Surf Spot,Tier-3,Shops/Stores
458,Sushi Restaurant,Tier-2,Restaurants/Foods
459,Swiss Restaurant,Tier-2,Restaurants/Foods
460,Synagogue,Tier-3,
461,Syrian Restaurant,Tier-2,Restaurants/Foods
462,Szechuan Restaurant,Tier-2,Restaurants/Foods
463,Taco Place,Tier-2,Restaurants/Foods
464,Tailor Shop,Tier-2,Shops/Stores
465,Taiwanese Restaurant,Tier-2,Restaurants/Foods
466,Tanning Salon,Tier-3,Shops/Stores
467,Tapas Restaurant,Tier-2,Restaurants/Foods
468,Tattoo Parlor,Tier-3,Shops/Stores
469,Taverna,Tier-2,Restaurants/Foods
470,Tea Room,Tier-2,Restaurants/Foods
471,Tech Startup,Tier-3,
472,Tempura Restaurant,Tier-2,Restaurants/Foods
473,Tennis Court,Tier-1,Parks/Outdoors
474,Tennis Stadium,Tier-1,Parks/Outdoors
475,Tex-Mex Restaurant,Tier-2,Restaurants/Foods
476,Thai Restaurant,Tier-2,Restaurants/Foods
477,Theater,Tier-1,Arts/Culture
478,Theme Park,Tier-3,Parks/Outdoors
479,Theme Park Ride / Attraction,Tier-3,Parks/Outdoors
480,Theme Restaurant,Tier-2,Restaurants/Foods
481,Thrift / Vintage Store,Tier-2,Shops/Stores
482,Tibetan Restaurant,Tier-2,Restaurants/Foods
483,Tiki Bar,Tier-2,Bars/Pubs/Cafés
484,Tonkatsu Restaurant,Tier-2,Restaurants/Foods
485,Tour Provider,Tier-3,
486,Tourist Information Center,Tier-3,
487,Toy / Game Store,Tier-2,Shops/Stores
488,Track,Tier-1,Parks/Outdoors
489,Track Stadium,Tier-3,
490,Trade School,Tier-3,
491,Trail,Tier-1,Parks/Outdoors
492,Train Station,Tier-3,
493,Tram Station,Tier-3,
494,Transportation Service,Tier-3,
495,Trattoria/Osteria,Tier-2,Restaurants/Foods
496,Travel Lounge,Tier-2,
497,Tunnel,Tier-3,
498,Turkish Restaurant,Tier-2,Restaurants/Foods
499,Tuscan Restaurant,Tier-2,Restaurants/Foods
500,TV Station,Tier-3,
501,Udon Restaurant,Tier-2,Restaurants/Foods
502,Unagi Restaurant,Tier-2,Restaurants/Foods
503,University,Tier-2,
504,Used Bookstore,Tier-2,Shops/Stores
505,Vegetarian / Vegan Restaurant,Tier-3,Restaurants/Foods
506,Venezuelan Restaurant,Tier-2,Restaurants/Foods
507,Video Store,Tier-2,Shops/Stores
508,Vietnamese Restaurant,Tier-2,Restaurants/Foods
509,Vineyard,Tier-2,Bars/Pubs/Cafés
510,Wagashi Place,Tier-2,Restaurants/Foods
511,Warehouse Store,Tier-3,
512,Watch Shop,Tier-2,Shops/Stores
513,Waterfall,Tier-1,Parks/Outdoors
514,Waterfront,Tier-1,Parks/Outdoors
515,Whisky Bar,Tier-2,Bars/Pubs/Cafés
516,Wine Bar,Tier-2,Bars/Pubs/Cafés
517,Wine Shop,Tier-2,Restaurants/Foods
518,Winery,Tier-2,Restaurants/Foods
519,Wings Joint,Tier-3,Restaurants/Foods
520,Women's Store,Tier-2,Shops/Stores
521,Yakitori Restaurant,Tier-2,Restaurants/Foods
522,Yemeni Restaurant,Tier-2,Restaurants/Foods
523,Yoga Studio,Tier-3,
524,Yoshoku Restaurant,Tier-2,Restaurants/Foods
525,Zoo,Tier-2,Parks/Outdoors
526,Zoo Exhibit,Tier-2,Parks/Outdoors
